Код товара,Автор,Название,Наличие,Описание,Рейтинг,Обложка,Жанры,Издательство,Год издания,Место издания,Язык текста,Тип обложки,Формат,Размеры в мм (ДхШхВ),Вес,Страниц,Тираж,Артикул,ISBN,В продаже с,Возраст,Тиснение,Бумага,Обрез,Иллюстрации,Язык оригинала,Перевод,Производитель,Год производства,Место производства,Стикеры,Иллюстраторы,Футляр
1000044,Фицджеральд Ф. С.,Великий Гэтсби = The Great Gatsby. Уникальная методика обучения языку В. Ратке,True,"Лучший способ учить иностранный язык — это читать художественное произведение, постепенно овладевая лексикой и грамматикой. Предлагаем учить английский язык вместе со знаменитым романом Фрэнсиса Скотта Фицджеральда ""Великий Гэтсби"". Адаптированный текст произведения снабжен подробным лексико-грамматическим комментарием, расположенным на полях, напротив комментируемого места, с отсылками на соответствующее правило грамматики. Объем Грамматического справочника, следующего сразу за романом, соответствует уровню выше среднего, поэтому им можно успешно пользоваться и в дальнейшем. В конце книги помещен англо-русский словарь, содержащий лексику романа. Издание предназначено для всех, кто начал и продолжает учить английский язык, кто стремится читать книги на английском.",0,https://www.moscowbooks.ru/image/book/664/w259/i664133.jpg,,АСТ,2019,Москва,английский,Мягкая обложка,60х84 1/16,200x137x24,260 гр.,320,2000 экз.,ASE000000000842319,978-5-17-114038-0,27.07.2019,,,,,,,,,,,,,
1000435,Достоевский Ф. М.,Чужая жена и муж под кроватью,True,"Очень необычный сборник. Очень непривычный Достоевский. Достоевский не только (и не столько) трагический, но — ироничный, веселый, трогательный и даже сентиментальный. Достоевский ""малой формы"" — мастер злободневных сюжетов, комических ситуаций и остроумных диалогов. Достоевский в начале своего литературного пути — до ""Великого пятикнижия"". ""Село Степанчиково и его обитатели"", ""Хозяйка"", ""Чужая жена и муж под кроватью"" — без этих произведений невозможно понять Достоевского. Ведь именно в них наметились те философско-нравственные и социально-психологические мотивы творчества, из которых позже вырастут ""Братья Карамазовы"", ""Идиот"", ""Бесы"" и другие романы.",0,https://www.moscowbooks.ru/image/book/664/w259/i664507.jpg,Классическая российская проза,АСТ,2019,Москва,русский,Мягкая обложка,76х100 1/32,180x115x27,240 гр.,384,5000 экз.,ASE000000000843846,978-5-17-115705-0,30.07.2019,,,,,,,,,,,,,
1000624,"Стругацкий А. Н.,Стругацкий Б. Н.",Полное собрание сочинений. В 33 томах. Том 16. 1970,True,"Полное собрание сочинений Аркадия и Бориса Стругацких включает в себя 33 основных тома и некоторое количество дополнительных. Основные тома скомпонованы по хронологически-тематическому принципу и составлены из художественных и публицистических произведений, а также писем, дневников и записных книжек. Каждый том включает в себя эти компоненты творчества Стругацких за определённый год (первый том — за несколько лет). Разделы художественный и публицистический охватывают как опубликованные, канонические тексты, так и архивные, многое публикуется впервые. Письма, дневники, записные книжки Стругацких представлены во всей возможной полноте. Каждый том снабжён справочным аппаратом — примечаниями и комментариями, библиографией за рассматриваемый период, указателями персоналий и заглавий произведений. Некоторые комментарии даны Борисом Стругацким. Большинство томов имеют вклейки с фотографиями Стругацких и их рисунками из писем и рукописей. В дополнительных томах планируется опубликовать переводы, выполненные Стругацкими, произведения, написанные ими в соавторстве с другими авторами, переписку с издательствами, инстанциями и коллегами по творчеству, а также некоторые иные материалы.",0,https://www.moscowbooks.ru/image/book/664/w259/i664724.jpg,Классическая фантастика,Издательство Сидорович,2019,СПб,русский,Твердый переплет (ткань),84х108 1/32,208x132x24,490 гр.,384,350 экз.,978-5-905909-26-9,978-5-905909-26-9,31.07.2019,,,,,,,,,,,,,
1000625,"Стругацкий А. Н.,Стругацкий Б. Н.",Полное собрание сочинений. В 33 томах. Том 17. 1971,True,"Полное собрание сочинений Аркадия и Бориса Стругацких включает в себя 33 основных тома и некоторое количество дополнительных. Основные тома скомпонованы по хронологически-тематическому принципу и составлены из художественных и публицистических произведений, а также писем, дневников и записных книжек. Каждый том включает в себя эти компоненты творчества Стругацких за определённый год (первый том — за несколько лет). Разделы художественный и публицистический охватывают как опубликованные, канонические тексты, так и архивные, многое публикуется впервые. Письма, дневники, записные книжки Стругацких представлены во всей возможной полноте. Каждый том снабжён справочным аппаратом — примечаниями и комментариями, библиографией за рассматриваемый период, указателями персоналий и заглавий произведений. Некоторые комментарии даны Борисом Стругацким. Большинство томов имеют вклейки с фотографиями Стругацких и их рисунками из писем и рукописей. В дополнительных томах планируется опубликовать переводы, выполненные Стругацкими, произведения, написанные ими в соавторстве с другими авторами, переписку с издательствами, инстанциями и коллегами по творчеству, а также некоторые иные материалы.",0,https://www.moscowbooks.ru/image/book/664/w259/i664723.jpg,Классическая фантастика,Издательство Сидорович,2019,СПб,русский,Твердый переплет (ткань),84х108 1/32,208x132x38,760 гр.,624,350 экз.,978-5-905909-27-6,978-5-905909-27-6,31.07.2019,,,,,,,,,,,,,
1002585,Лукьяненко С. В.,Звезды — холодные игрушки. Звездная тень,True,"Встреча с иными цивилизациями оказалась обескураживающей: земляне опоздали — Галактика уже поделена между Сильными расами, и новичков быстро ставят на место, назначая им роль космических ""извозчиков"". Мечты о покорении космоса так и остались мечтами. Человечество безнадежно отстало от ""братьев по разуму"". Однако не все на Земле готовы смириться с уготованной им унизительной ролью, и начинается борьба. Борьба за право стать равными среди равных в межзвездном сообществе… Люди не смирились с ролью ""космических извозчиков"", обслуживающих сильные расы. Они боролись за свободу. За право быть в космосе не прислужниками могущественных господ, но — равными среди равных. И вот они добились своего. Но достигнутый хрупкий мир висит на волоске. Когда этот волосок оборвется, война начнется снова. И в этой войне уже не будет правил. В ней будет один-единственный закон: цель оправдывает средства!",0,https://www.moscowbooks.ru/image/book/666/w259/i666647.jpg,Космическая фантастика,АСТ,2019,Москва,русский,Твердый переплет,60х90 1/16,218x143x37,655 гр.,672,2000 экз.,ASE000000000845549,978-5-17-117177-3,15.08.2019,,,,,,,,,,,,,
1002955,Фицджеральд Ф. С.,Ночь нежна,True,"""Ночь нежна"" — удивительно тонкий и глубоко психологичный роман американского классика, который многие критики ставят даже выше ""Великого Гэтсби"", а сам автор называл ""самым любимым своим произведением"". И это не случайно: книга получилась во многом автобиографичной, Фицджеральд описал в ней оборотную сторону своей внешне роскошной жизни с женой Зельдой. Вожделенная американская мечта, обернувшаяся подлинной трагедией. В историю моральной деградации талантливого врача-психиатра он вложил те боль и страдания, которые сам пережил в борьбе с шизофренией супруги... Но эта книга не о болезни или смерти — она о любви.",0,https://www.moscowbooks.ru/image/book/666/w259/i666887.jpg,,Эксмо,2019,Москва,русский,Мягкая обложка,76х100 1/32,181x115x21,255 гр.,512,3000 экз.,ITD000000000950861,978-5-04-100577-1,16.08.2019,,,,,,английский,Ильин С.,,,,,,
1003154,"Стругацкий А. Н.,Стругацкий Б. Н.",Собрание сочинений. 1979-1984. Жук в муравейнике; Хромая судьба; Волны гасят ветер. Том 8,True,"Аркадий (1925–1991) и Борис (1933–2012) Стругацкие — русские советские писатели-фантасты, поднявшие отечественную фантастику до высот мирового уровня. Переведенные на все основные языки, изданные суммарным тиражом более 500 миллионов экземпляров, их книги до сих пор экранизируются, активно обсуждаются и служат источником вдохновения для нового поколения писателей и читателей.  В этот том вошли ""Жук в муравейнике"", ""Хромая судьба"", ""Волны гасят ветер"".",0,https://www.moscowbooks.ru/image/book/667/w259/i667052.jpg,Классическая фантастика,АСТ,2019,Москва,русский,Твердый переплет,60х90 1/16,215x145x44,710 гр.,672,2500 экз.,ASE000000000845259,978-5-17-116874-2,17.08.2019,,,,,,,,,,,,,
1003747,Лукьяненко С. В.,Лорд с планеты Земля,True,"Лучшая космоопера в российской фантастике!  В тебя можно влюбиться?"" Странный вопрос девчонки, которую он спас от хулиганов... Вопрос, который не даст ему покоя на Земле. Вопрос, который будет мучить его в чужом мире, охваченном пламенем войны. В мире, где ему предстоит стать ""лордом с планеты Земля"" — Планеты, Которой Нет...  Увлекательная история землянина, заброшенного в глубины космоса и возглавившего галактическую войну.  История, в которой есть место для всего, что только может быть создано фантазией в свободном полете, -- бластеров и звездолетов, странных союзников и необыкновенных врагов, вампиров, что не прячут своих клыков, и атомарных мечей, что острее косы самой Смерти...",0,https://www.moscowbooks.ru/image/book/667/w259/i667817.jpg,Космическая фантастика,АСТ,2019,Москва,русский,Твердый переплет,60х90 1/16,215x145x29,500 гр.,480,2000 экз.,ASE000000000845548,978-5-17-117175-9,22.08.2019,,,,,,,,,,,,,
1003888,Фрай М.,Неизвестным для меня способом,True,"Представьте себе человека, который сначала сам, по собственному желанию залезает в сундук и закрывает крышку. А потом начинает в этом сундуке задыхаться. И когда приступ клаустрофобии доводит его до полного истощения, он вдруг открывает глаза и понимает: сундука-то нет! Он исчез, и человек просто лежит на полу. Все рассказы в книге примерно про это. Ну или для этого. Чтобы все эти ваши сундуки исчезали, один за другим. Рассказ ""Сорок третий"" был опубликован в сборнике ""Nада"", рассказ ""Голова и лира плыли по Гебру"" — в сборнике ""Карты на стол"", обойтись без них было совершенно невозможно, очень уж качественно от этих рассказов рассеиваются сундуки. Остальные тексты публикуются впервые.",0,https://www.moscowbooks.ru/image/book/667/w259/i667906.jpg,Фэнтези,АСТ,2019,Москва,русский,Твердый переплет,84х108 1/32,200x130x20,325 гр.,288,7000 экз.,ASE000000000845246,978-5-17-118948-8,23.08.2019,,,,,,,,,,,,,
1004205,Достоевский Ф. М.,Игрок,False,"В романе ""Игрок"" писатель изображает прекрасного человека, который не вписывается в общество, где царят бездушие и лицемерие.",0,https://www.moscowbooks.ru/image/book/668/w259/i668202.jpg,,Искателькнига,2015,Москва,русский,Твердый переплет,60х90 1/16,215x145,227 гр.,126,3000 экз.,,978-5-9905833-4-4,27.08.2019,16 +,,,,,,,,,,,,
